business_name,insta_followers,insta_like_range_month_m,insta_view_range_month_m,insta_comment_range_month_m,insta_like_range_month_m_1,insta_comment_range_month_m_1,insta_view_range_month_m_1
The Dial,3733.0,"(-0.001, 13.95]","(-0.001, 2083.75]","(-0.001, 2.0]","(181.1, 7864.8]","(7.0, 3329.0]","(2083.75, 359000.0]"
The Dial,3733.0,"(181.1, 7864.8]","(2083.75, 359000.0]","(7.0, 3329.0]","(181.1, 7864.8]","(7.0, 3329.0]","(2083.75, 359000.0]"
Blue Owl Central Square,3728.0,"(13.95, 67.2]","(-0.001, 2083.75]","(-0.001, 2.0]","(13.95, 67.2]","(-0.001, 2.0]","(-0.001, 2083.75]"
Blue Owl Central Square,3728.0,"(13.95, 67.2]","(-0.001, 2083.75]","(-0.001, 2.0]","(67.2, 181.1]","(-0.001, 2.0]","(-0.001, 2083.75]"
Blue Owl Central Square,3728.0,"(67.2, 181.1]","(-0.001, 2083.75]","(-0.001, 2.0]","(-0.001, 13.95]","(-0.001, 2.0]","(-0.001, 2083.75]"
Blue Owl Central Square,3728.0,"(-0.001, 13.95]","(-0.001, 2083.75]","(-0.001, 2.0]","(181.1, 7864.8]","(7.0, 3329.0]","(2083.75, 359000.0]"
Blue Owl Central Square,3728.0,"(181.1, 7864.8]","(2083.75, 359000.0]","(7.0, 3329.0]","(-0.001, 13.95]","(-0.001, 2.0]","(-0.001, 2083.75]"
Yellow Door Taqueria,22000.0,"(181.1, 7864.8]","(-0.001, 2083.75]","(2.0, 7.0]","(181.1, 7864.8]","(7.0, 3329.0]","(2083.75, 359000.0]"
Yellow Door Taqueria,22000.0,"(181.1, 7864.8]","(2083.75, 359000.0]","(7.0, 3329.0]","(67.2, 181.1]","(2.0, 7.0]","(-0.001, 2083.75]"
Yellow Door Taqueria,22000.0,"(67.2, 181.1]","(-0.001, 2083.75]","(2.0, 7.0]","(181.1, 7864.8]","(7.0, 3329.0]","(2083.75, 359000.0]"
Yellow Door Taqueria,22000.0,"(181.1, 7864.8]","(2083.75, 359000.0]","(7.0, 3329.0]","(67.2, 181.1]","(-0.001, 2.0]","(2083.75, 359000.0]"
Yellow Door Taqueria,22000.0,"(67.2, 181.1]","(2083.75, 359000.0]","(-0.001, 2.0]","(181.1, 7864.8]","(2.0, 7.0]","(-0.001, 2083.75]"
Bar 'Cino,3793.0,"(67.2, 181.1]","(-0.001, 2083.75]","(7.0, 3329.0]","(67.2, 181.1]","(7.0, 3329.0]","(-0.001, 2083.75]"
Bar 'Cino,3793.0,"(67.2, 181.1]","(-0.001, 2083.75]","(7.0, 3329.0]","(67.2, 181.1]","(7.0, 3329.0]","(-0.001, 2083.75]"
Bar 'Cino,3793.0,"(67.2, 181.1]","(-0.001, 2083.75]","(7.0, 3329.0]","(67.2, 181.1]","(7.0, 3329.0]","(-0.001, 2083.75]"
Bar 'Cino,3793.0,"(67.2, 181.1]","(-0.001, 2083.75]","(7.0, 3329.0]","(67.2, 181.1]","(7.0, 3329.0]","(-0.001, 2083.75]"
Bar 'Cino,3793.0,"(67.2, 181.1]","(-0.001, 2083.75]","(7.0, 3329.0]","(67.2, 181.1]","(7.0, 3329.0]","(-0.001, 2083.75]"
Tradesman Coffee Shop & Lounge,14000.0,"(181.1, 7864.8]","(2083.75, 359000.0]","(7.0, 3329.0]","(181.1, 7864.8]","(7.0, 3329.0]","(2083.75, 359000.0]"
